solvent,reagent,solvent_volume,reagent_volume,temperature,yield,time,priority
Acetone,Methanol,2,2,50,PENDING,PENDING,1
Acetone,Methanol,1,1,50,PENDING,PENDING,0
Acetone,Methanol,2,3,50,PENDING,PENDING,0
Acetone,Methanol,3,3,50,PENDING,PENDING,0
Acetone,Methanol,3,2,70,PENDING,PENDING,0
Acetone,Methanol,3,2,50,PENDING,PENDING,0
Acetone,Methanol,3,1,70,PENDING,PENDING,0
Acetone,Methanol,3,1,50,PENDING,PENDING,0
Acetone,Methanol,2,3,70,PENDING,PENDING,0
Acetone,Methanol,2,2,70,PENDING,PENDING,0
Acetone,Methanol,1,1,70,PENDING,PENDING,0
Acetone,Methanol,2,1,70,PENDING,PENDING,0
Acetone,Methanol,2,1,50,PENDING,PENDING,0
Acetone,Methanol,1,3,70,PENDING,PENDING,0
Acetone,Methanol,1,3,50,PENDING,PENDING,0
Acetone,Methanol,1,2,70,PENDING,PENDING,0
Acetone,Methanol,1,2,50,PENDING,PENDING,0
Acetone,Methanol,3,3,70,PENDING,PENDING,0
